descripcion,causa
520/01/201109905-2011-0017  TENENCIA DE ARMAS,99052011001
618/01/201109905-2011-0014  OCULTACION DE BIENES,99052011001
717/01/201109905-2011-0011  ROBO,99052011001
817/01/201109905-2011-0012  HURTO,99052011001
917/01/201109905-2011-0013  TENENCIA DE ARMAS,99052011001
1014/01/201109905-2011-0010  ROBO,99052011001
110/02/201109905-2011-0029  ROBO,99052011002
207/02/201109905-2011-0028  ESTUPEFACIENTES,99052011002
304/02/201109905-2011-0027  TENENCIA DE ARMAS,99052011002
403/02/201109905-2011-0026  OCULTACION DE BIENES,99052011002
502/02/201109905-2011-0025  ABIGEATO,99052011002
601/02/201109905-2011-0022  ESTUPEFACIENTES,99052011002
701/02/201109905-2011-0023  ROBO,99052011002
801/02/201109905-2011-0024  ROBO,99052011002
928/01/201109905-2011-0021  ESTUPEFACIENTES,99052011002
1027/01/201109905-2011-0020  ROBO,99052011002
124/02/201109905-2011-0039  ASESINATO,99052011003
222/02/201109905-2011-0038  ROBO,99052011003
321/02/201109905-2011-0037  TENTATIVA DE ASESINATO,99052011003
417/02/201109905-2011-0035  OCULTACION DE BIENES,99052011003
516/02/201109905-2011-0033  CONTRA LA ACTIVIDAD JUDICIAL,99052011003
616/02/201109905-2011-0034  LESIONES,99052011003
715/02/201109905-2011-0031  ESTUPEFACIENTES,99052011003
815/02/201109905-2011-0032  TENENCIA DE ARMAS,99052011003
914/02/201109905-2011-0030  HURTO,99052011003
116/03/201109905-2011-0049  TELECOMUNICACIONES ILEGALES,99052011004
214/03/201109905-2011-0048  ROBO,99052011004
311/03/201109905-2011-0046  TENENCIA DE ARMAS,99052011004
411/03/201109905-2011-0047  TENENCIA DE ARMAS,99052011004
504/03/201109905-2011-0044  DELITOS CONTRA LA VIDA.,99052011004
604/03/201109905-2011-0045  ROBO,99052011004
703/03/201109905-2011-0043  ROBO,99052011004
801/03/201109905-2011-0042  TENENCIA DE ARMAS,99052011004
928/02/201109905-2011-0040  ROBO,99052011004
1028/02/201109905-2011-0041  ROBO,99052011004
101/04/201109905-2011-0059  TENENCIA DE ARMAS,99052011005
230/03/201109905-2011-0057  ROBO,99052011005
330/03/201109905-2011-0058  ESTUPEFACIENTES,99052011005
429/03/201109905-2011-0055  TENENCIA DE ARMAS,99052011005
529/03/201109905-2011-0056  LESIONES,99052011005
624/03/201109905-2011-0054  ROBO,99052011005
723/03/201109905-2011-0053  TENENCIA DE ARMAS,99052011005
822/03/201109905-2011-0052  ROBO,99052011005
918/03/201109905-2011-0051  ASESINATO,99052011005
1002/04/200809905-2011-0050  EL ROBO,99052011005
118/04/201109905-2011-0069  ROBO,99052011006
215/04/201109905-2011-0068  ROBO,99052011006
314/04/201109905-2011-0067  TENENCIA DE ARMAS,99052011006
413/04/201109905-2011-0066  ROBO,99052011006
511/04/201109905-2011-0064  ROBO,99052011006
611/04/201109905-2011-0065  TENTATIVA DE ROBO,99052011006
707/04/201109905-2011-0062  OCULTACION DE BIENES,99052011006
807/04/201109905-2011-0063  ROBO,99052011006
905/04/201109905-2011-0061  TENENCIA DE ARMAS,99052011006
1001/04/201109905-2011-0060  OTRO,99052011006
106/05/201109905-2011-0079  ROBO,99052011007
205/05/201109905-2011-0078  ROBO,99052011007
303/05/201109905-2011-0077  ROBO,99052011007
429/04/201109905-2011-0075  HURTO,99052011007
529/04/201109905-2011-0076  ROBO,99052011007
628/04/201109905-2011-0074  OCULTACION DE BIENES,99052011007
725/04/201109905-2011-0073  ROBO,99052011007
820/04/201109905-2011-0071  TENENCIA DE ARMAS,99052011007
920/04/201109905-2011-0072  TENENCIA DE ARMAS,99052011007
1019/04/201109905-2011-0070  ESTUPEFACIENTES,99052011007
124/05/201109905-2011-0089  ROBO,99052011008
219/05/201109905-2011-0087  ROBO,99052011008
319/05/201109905-2011-0088  ASESINATO,99052011008
417/05/201109905-2011-0086  ROBO,99052011008
516/05/201109905-2011-0085  ROBO,99052011008
614/05/201109905-2011-0084  ESTAFA,99052011008
713/05/201109905-2011-0083  ROBO,99052011008
811/05/201109905-2011-0081  ASESINATO,99052011008
911/05/201109905-2011-0082  ROBO,99052011008
1009/05/201109905-2011-0080  INTIMIDACION,99052011008
115/06/201109905-2011-0099  ROBO,99052011009
209/06/201109905-2011-0098  TENENCIA DE ARMAS,99052011009
307/06/201109905-2011-0097  ROBO,99052011009
403/06/201109905-2011-0095  TENENCIA DE ARMAS,99052011009
502/06/201109905-2011-0094  OCULTACION DE BIENES,99052011009
601/06/201109905-2011-0093  ROBO,99052011009
730/05/201109905-2011-0092  ROBO,99052011009
825/05/201109905-2011-0090  ASESINATO,99052011009
925/05/201109905-2011-0091  LESIONES,99052011009
115/06/201109905-2011-0099  ROBO,99052011009
209/06/201109905-2011-0098  TENENCIA DE ARMAS,99052011009
307/06/201109905-2011-0097  ROBO,99052011009
403/06/201109905-2011-0095  TENENCIA DE ARMAS,99052011009
502/06/201109905-2011-0094  OCULTACION DE BIENES,99052011009
601/06/201109905-2011-0093  ROBO,99052011009
730/05/201109905-2011-0092  ROBO,99052011009
825/05/201109905-2011-0090  ASESINATO,99052011009
925/05/201109905-2011-0091  LESIONES,99052011009
105/07/201109905-2011-0109  HURTO,99052011010
201/07/201109905-2011-0108  ESTUPEFACIENTES,99052011010
330/06/201109905-2011-0107  ASOCIACION ILICITA,99052011010
424/06/201109905-2011-0106  ESTUPEFACIENTES,99052011010
523/06/201109905-2011-0105  ROBO,99052011010
622/06/201109905-2011-0102  TENENCIA DE ARMAS,99052011010
722/06/201109905-2011-0103  TENENCIA DE ARMAS,99052011010
822/06/201109905-2011-0104  ROBO,99052011010
921/06/201109905-2011-0101  FALSIFICACIONES,99052011010
1020/06/201109905-2011-0100  HOMICIDIO,99052011010
119/07/201109905-2011-0119  ESTUPEFACIENTES,99052011011
215/07/201109905-2011-0118  TENENCIA DE ARMAS,99052011011
314/07/201109905-2011-0117  ROBO,99052011011
412/07/201109905-2011-0116  ROBO,99052011011
508/07/201109905-2011-0114  TENENCIA DE ARMAS MUNICIONES EXPLOSIVOS Y ACCESORIOS,99052011011
608/07/201109905-2011-0115  ESTUPEFACIENTES,99052011011
707/07/201109905-2011-0110  ROBO,99052011011
807/07/201109905-2011-0111  OTRO,99052011011
907/07/201109905-2011-0112  CONTRA LA ADMINISTRACION PUBLICA,99052011011
104/08/201109905-2011-0129  ASOCIACION ILICITA,99052011012
202/08/201109905-2011-0128  ESTUPEFACIENTES,99052011012
301/08/201109905-2011-0126  TENTATIVA DE ROBO,99052011012
401/08/201109905-2011-0127  RECUSACION,99052011012
529/07/201109905-2011-0125  ROBO,99052011012
628/07/201109905-2011-0123  ROBO,99052011012
728/07/201109905-2011-0124  CONTRA LA VIDA,99052011012
827/07/201109905-2011-0122  ESTUPEFACIENTES,99052011012
922/07/201109905-2011-0121  ROBO,99052011012
1021/07/201109905-2011-0120  PECULADO,99052011012
123/08/201109905-2011-0139  ROBO,99052011013
218/08/201109905-2011-0137  TENTATIVA DE ROBO,99052011013
318/08/201109905-2011-0138  ROBO,99052011013
416/08/201109905-2011-0135  ESTUPEFACIENTES,99052011013
516/08/201109905-2011-0136  ROBO,99052011013
615/08/201109905-2011-0133  ROBO,99052011013
710/08/201109905-2011-0132  ROBO,99052011013
809/08/201109905-2011-0131  TENENCIA DE ARMAS,99052011013
905/08/201109905-2011-0130  ROBO,99052011013
107/09/201109905-2011-0148  ROBO,99052011014
207/09/201109905-2011-0149  ROBO CALIFICADO,99052011014
306/09/201109905-2011-0146  TENTATIVA DE ASESINATO,99052011014
406/09/201109905-2011-0147  TENENCIA DE ARMAS,99052011014
502/09/201109905-2011-0145  ROBO,99052011014
601/09/201109905-2011-0143  ROBO,99052011014
701/09/201109905-2011-0144  TENENCIA DE ARMAS,99052011014
831/08/201109905-2011-0142  TENENCIA DE ARMAS,99052011014
926/08/201109905-2011-0140  TENTATIVA DE ROBO,99052011014
122/09/201109905-2011-0159  DAÑOS Y PERJUICIOS,99052011015
220/09/201109905-2011-0158  ESTUPEFACIENTES,99052011015
319/09/201109905-2011-0157  ESTUPEFACIENTES,99052011015
415/09/201109905-2011-0156  RECUSACION,99052011015
512/09/201109905-2011-0154  OTRO,99052011015
609/09/201109905-2011-0151  USURPACION DE FUNCIONES,99052011015
709/09/201109905-2011-0152  TRANSPORTE ILEGAL DE ARMAS,99052011015
809/09/201109905-2011-0153  INTIMIDACION,99052011015
125/10/201109905-2011-0169  TENENCIA DE ARMAS,99052011016
220/10/201109905-2011-0167  PECULADO,99052011016
320/10/201109905-2011-0168  TENENCIA DE ARMAS,99052011016
419/10/201109905-2011-0164  TENENCIA DE ARMAS,99052011016
519/10/201109905-2011-0165  TENENCIA DE ARMAS,99052011016
619/10/201109905-2011-0166  HURTO,99052011016
713/10/201109905-2011-0162  DELITOS RELATIVOS A LA COMERCIALIZACIÓN ILÍCITA DE COMBUSTIBLES. - R.O.S 170 - 14 SEP 2007 (HIDROCARBUROS),99052011016
804/10/201109905-2011-0161  ROBO,99052011016
903/10/201109905-2011-0160  ROBO,99052011016
114/11/201109905-2011-0178  ASOCIACION ILICITA,99052011017
214/11/201109905-2011-0179  LA ESTAFA,99052011017
311/11/201109905-2011-0177  TENTATIVA DE ASESINATO,99052011017
409/11/201109905-2011-0176  EL ROBO,99052011017
508/11/201109905-2011-0175  ROBO,99052011017
607/11/201109905-2011-0173  TENTATIVA DE ASESINATO,99052011017
707/11/201109905-2011-0174  TENENCIA DE ARMAS,99052011017
801/11/201109905-2011-0172  ROBO,99052011017
928/10/201109905-2011-0171  ROBO,99052011017
1026/10/201109905-2011-0170  ROBO,99052011017
101/12/201109905-2011-0189  ROBO,99052011018
229/11/201109905-2011-0188  ROBO,99052011018
324/11/201109905-2011-0186  TENENCIA DE ARMAS,99052011018
424/11/201109905-2011-0187  EL ROBO,99052011018
523/11/201109905-2011-0185  ASESINATO,99052011018
622/11/201109905-2011-0184  TRANSPORTE ILEGAL DE ARMAS,99052011018
717/11/201109905-2011-0182  TENENCIA DE ARMAS,99052011018
817/11/201109905-2011-0183  FALSIFICACIONES,99052011018
915/11/201109905-2011-0180  FALSIFICACIONES,99052011018
1015/11/201109905-2011-0181  EXTORSION,99052011018
116/12/201109905-2011-0197  ROBO,99052011019
216/12/201109905-2011-0198  ROBO,99052011019
316/12/201109905-2011-0199  ROBO,99052011019
414/12/201109905-2011-0196  ROBO,99052011019
507/12/201109905-2011-0192  ROBO,99052011019
607/12/201109905-2011-0193  ROBO,99052011019
707/12/201109905-2011-0194  TENENCIA DE ARMAS,99052011019
807/12/201109905-2011-0195  TENENCIA DE ARMAS,99052011019
902/12/201109905-2011-0191  TENENCIA DE ARMAS,99052011019
1001/12/201109905-2011-0190  ESTAFA,99052011019
129/12/201109905-2011-0202  ESTAFA,99052011020
222/12/201109905-2011-0201  HOMICIDIO,99052011020
No se encuentran resultados.,99052011023
103/02/201209905-2012-0019  ESTAFA,99052012001
202/02/201209905-2012-0018  ROBO,99052012001
301/02/201209905-2012-0016  TENENCIA DE ARMAS,99052012001
426/01/201209905-2012-0015  TENENCIA DE ARMAS,99052012001
525/01/201209905-2012-0014  ESTAFA,99052012001
623/01/201209905-2012-0013  TRÁFICO ILEGAL DE MIGRANTES.,99052012001
"720/01/201209905-2012-0010  ATENTADO CONTRA EL PUDOR, VIOLACIÓN Y ESTUPRO.",99052012001
820/01/201209905-2012-0011  ROBO,99052012001
920/01/201209905-2012-0012  ROBO,99052012001
129/02/201209905-2012-0029  ESTAFA,99052012002
228/02/201209905-2012-0028  FALSIFICACIÓN DE DOCUMENTOS.,99052012002
325/02/201209905-2012-0027  ESTUPEFACIENTES,99052012002
417/02/201209905-2012-0026  ABUSO DE ARMAS.,99052012002
